,message.sender_id,message.text, message.date,message.id,message.post_author,message.views,message.peer_id.channel_id
0,1778505019.0,가스비 없어서 못하넹 ㅠ,2023-06-22 09:41:48+00:00,843,,,1810966644
1,5492764610.0,BINANCE WITHDRAW,2023-06-22 09:26:50+00:00,842,,,1810966644
2,1778505019.0,가스비가 없네 뭘루 가스비 벌어용?,2023-06-22 09:25:38+00:00,841,,,1810966644
3,390418105.0,지금 되나요?,2023-06-22 08:43:06+00:00,839,,,1810966644
4,1832533556.0,에드는..?,2023-06-22 07:27:54+00:00,835,,,1810966644
5,5835223991.0,그냥 엔에프티만 주나요?,2023-06-22 07:21:55+00:00,834,,,1810966644
6,5497305510.0,나중에뭐주나요,2023-06-22 07:15:31+00:00,832,,,1810966644
7,5497305510.0,저거받으면,2023-06-22 07:15:28+00:00,831,,,1810966644
8,5497305510.0,앱토스 오지 nft ㄷㄷㄷㄷㄷㄷ,2023-06-22 07:15:26+00:00,830,,,1810966644
9,1078344896.0,cx,2023-06-22 07:09:27+00:00,829,,,1810966644
10,5497305510.0,답3번인듯,2023-06-22 07:06:50+00:00,827,,,1810966644
11,5481341340.0,0.001정도,2023-06-22 07:06:29+00:00,826,,,1810966644
12,6164803629.0,오 족보있나요,2023-06-22 07:06:16+00:00,825,,,1810966644
13,5835223991.0,답 3번 2번인듯?,2023-06-22 07:06:15+00:00,824,,,1810966644
14,5835223991.0,0.1이면 평생써여,2023-06-22 07:06:12+00:00,823,,,1810966644
15,2022234862.0,nft 클레임,2023-06-22 07:06:06+00:00,822,,,1810966644
16,2022234862.0,앱토스 수수료 얼마나 필요한가요?,2023-06-22 07:06:04+00:00,821,,,1810966644
17,5835223991.0,정답 몇번인가여??,2023-06-22 07:04:22+00:00,820,,,1810966644
18,5835223991.0,답 몇번임?,2023-06-22 07:03:59+00:00,819,,,1810966644
19,-1001808345971.0,"✨** 앱토스 한국 공식 커뮤니티 오픈 이벤트**✨ 

웹3 온보딩 플랫폼 3ridge를 통해 진행되고 있는 앱토스 커뮤니티의 두 번째 이벤트가 시작되었습니다! 퀴즈를 맞추시는 분들께 **앱토스 OG NFT**가 지급되오니 많은 참여 바랍니다.

🎁** 2차 커뮤니티 이벤트
**- 참여 기간: 2023년 6월 22일 ~ 6월 29일 
- 참여 보상: Aptos Korea OG NFT

**이벤트 참여하러 가기 **⤵️
[3ridge 이벤트 링크
](https://www.3ridge.io/event/648971993d243bd99d06aca8)
**앱토스 한국 커뮤니티 ⤵️**
https://t.me/AptosKR",2023-06-22 07:00:06+00:00,817,,977.0,1810966644
20,5481341340.0,언제 나오나 했더니ㅎㅎ,2023-06-22 02:25:29+00:00,810,,,1810966644
21,-1001808345971.0,"📱**앱토스 대표 지갑, 페트라 월렛 모바일 출시!

**페트라는 앱토스 랩스 팀이 개발한 공식 지갑입니다. 33억 명 이상의 안드로이드 사용자와 13억 6천만 명 이상의 아이폰 사용자는 페트라를 통해 어디서나 앱토스에 액세스 할 수 있습니다.

지금 바로 구글 플레이 및 애플 앱스토어에서 다운로드하고 앱토스와 웹3 여정을 모바일로 체험해보세요.

**더 알아보기⤵️** 
https://twitter.com/PetraWallet/status/1671564091176161282

**페트라 월렛 웹사이트⤵️ 
**https://petra.app",2023-06-22 02:24:33+00:00,809,,131.0,1810966644
22,5481341340.0,커뮤니티 이벤트 1차 약 1시간 남았습니다!,2023-06-22 02:08:07+00:00,805,,,1810966644
23,-1001808345971.0,"✨ **앱토스 네트워크 — 검증 가능한 성능 벤치마크의 중요성** ✨

앱토스 재단은 ‘성능’의 정의에 대한 논의를 시작하고 합의에 도달하기 위해 초기 성능 벤치마크 테스트를 도입하고 있습니다. 장기적으로 앱토스는 다른 조직과 협력하여 이 프레임워크를 개선하고 TPC 벤치마크에 상응하는 블록체인으로 전환하는 것을 목표로 하고 있습니다.

**테스트의 세부 사항에 대해 자세히 알아보세요**⤵️
https://bit.ly/verifiable_benchmark",2023-06-21 02:44:53+00:00,787,,159.0,1810966644
24,177972323.0,하이,2023-06-21 01:41:44+00:00,784,,,1810966644
25,368524689.0,하이요,2023-06-20 22:29:29+00:00,781,,,1810966644
26,440293597.0,가즈아,2023-06-20 15:02:32+00:00,775,,,1810966644
27,440393977.0,가즈아,2023-06-20 13:59:10+00:00,767,,,1810966644
28,5067410004.0,고고,2023-06-20 13:17:29+00:00,763,,,1810966644
29,5481341340.0,안하신분들 고고ㅎㅎ,2023-06-20 12:55:46+00:00,761,,,1810966644
30,5481341340.0,"**✨ 앱토스 한국 공식 커뮤니티 오픈 이벤트✨** 

앱토스 한국 공식 커뮤니티 오픈을 기념하여 웹3 온보딩 플랫폼 3ridge를 통해 한 달간 총 3차례의 이벤트가 진행됩니다. 지금 바로 퀘스트를 수행하고 다양한 경품을 받아 가시길 바랍니다!

**🎁 1차 커뮤니티 이벤트
**- 참여 기간: 2023년 6월 15일 ~ 6월 22일 
- 참여 보상: 커피 기프티콘 100명 추첨

**이벤트 참여하러 가기 ⤵️
**[3ridge 이벤트 링크

](https://www.3ridge.io/event/64882d186bd6711523e2a803)**앱토스 한국 커뮤니티 ⤵️
**https://t.me/AptosKR",2023-06-20 12:55:25+00:00,759,,8950.0,1810966644
31,5481341340.0,다들 이벤트 참여하셨죠?,2023-06-20 12:55:01+00:00,758,,,1810966644
32,5481341340.0,하이,2023-06-20 12:54:44+00:00,757,,,1810966644
33,353835912.0,하이요,2023-06-20 12:47:08+00:00,754,,,1810966644
34,5481341340.0,@dejavu1271,2023-06-20 09:19:01+00:00,733,,,1810966644
35,5481341340.0,트위터 연동 안되시던 분들 지금 다시 해보시겠어요?,2023-06-20 09:18:50+00:00,732,,,1810966644
36,2076340381.0,넵,2023-06-20 09:16:11+00:00,731,,,1810966644
37,2076340381.0,참여 합니닷,2023-06-20 09:15:50+00:00,729,,,1810966644
38,5481341340.0,쓰릿지 디스코드에 #티켓제출 채널에서 티켓 제출해주시면 바로 도움받으실 수 있습니다,2023-06-20 07:32:16+00:00,724,,,1810966644
39,5041023506.0,hi,2023-06-20 07:25:06+00:00,721,,,1810966644
40,6074408984.0,하이,2023-06-20 07:02:38+00:00,718,,,1810966644
